,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,type
217,0.44,0.345,0.115,0.545,0.2689999999999999,0.111,0.1305,1
218,0.43,0.315,0.115,0.384,0.1885,0.0715,0.11,1
219,0.535,0.405,0.125,0.927,0.26,0.1425,0.345,3
220,0.6,0.445,0.175,1.057,0.3829999999999999,0.216,0.355,3
221,0.59,0.47,0.145,0.9235,0.4545,0.173,0.254,2
222,0.52,0.465,0.15,0.9505,0.456,0.1989999999999999,0.255,1
223,0.57,0.45,0.145,0.7509999999999999,0.2825,0.2195,0.2215,2
224,0.695,0.54,0.195,1.6909999999999998,0.768,0.363,0.4755,3
225,0.665,0.5,0.175,1.2975,0.6075,0.314,0.315,2
226,0.41,0.3,0.1,0.301,0.124,0.069,0.09,2
227,0.505,0.385,0.12,0.6005,0.239,0.142,0.185,1
228,0.465,0.35,0.12,0.5205,0.2015,0.1625,0.185,3
229,0.655,0.54,0.175,1.5585,0.7285,0.402,0.385,3
230,0.53,0.395,0.145,0.775,0.308,0.1689999999999999,0.255,1
231,0.44,0.34,0.13,0.4195,0.153,0.1155,0.13,2
232,0.44,0.345,0.13,0.4495,0.209,0.0835,0.134,1
233,0.675,0.51,0.15,1.1965,0.475,0.304,0.386,3
234,0.6,0.48,0.18,1.0645,0.4495,0.2455,0.325,2
235,0.645,0.5,0.155,1.2205,0.6145,0.236,0.3185,2
236,0.59,0.465,0.135,0.9895,0.4235,0.1989999999999999,0.28,1
237,0.5,0.405,0.155,0.772,0.346,0.1535,0.245,3
238,0.48,0.35,0.105,0.635,0.352,0.127,0.135,1
239,0.44,0.33,0.135,0.4095,0.163,0.1005,0.119,1
240,0.565,0.44,0.125,0.802,0.3595,0.1825,0.215,2
241,0.65,0.52,0.21,1.6785,0.6665,0.308,0.46,3
242,0.38,0.3,0.1,0.286,0.1305,0.0559999999999999,0.09,1
243,0.445,0.335,0.14,0.4565,0.1785,0.114,0.14,3
244,0.46,0.35,0.115,0.46,0.2025,0.1115,0.1165,1
245,0.67,0.485,0.175,1.2565,0.5355,0.322,0.386,2
246,0.63,0.475,0.15,1.172,0.536,0.254,0.316,3
247,0.455,0.335,0.135,0.501,0.2739999999999999,0.0995,0.1065,1
248,0.535,0.42,0.13,0.6990000000000001,0.3125,0.1565,0.2035,1
249,0.625,0.48,0.17,1.3525,0.6235,0.278,0.365,2
250,0.36,0.26,0.08,0.1795,0.074,0.0315,0.06,1
251,0.635,0.5,0.18,1.2915,0.594,0.2695,0.37,2
252,0.73,0.58,0.19,1.7375,0.6785,0.4345,0.52,3
253,0.585,0.45,0.15,0.8915,0.3975,0.2035,0.253,1
254,0.525,0.41,0.15,0.708,0.2739999999999999,0.151,0.25,3
255,0.49,0.39,0.135,0.59,0.215,0.125,0.1845,3
256,0.675,0.51,0.195,1.382,0.6045,0.3175,0.3965,2
257,0.44,0.34,0.14,0.482,0.186,0.1085,0.16,2
258,0.705,0.555,0.195,1.7525,0.7105,0.4215,0.516,3
259,0.4,0.3,0.11,0.315,0.109,0.067,0.12,2
260,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,1
261,0.48,0.355,0.125,0.494,0.2385,0.0835,0.15,2
262,0.35,0.265,0.08,0.2,0.09,0.042,0.06,1
263,0.635,0.5,0.165,1.273,0.6535,0.213,0.365,3
264,0.57,0.45,0.135,1.02,0.546,0.204,0.25,2
265,0.365,0.285,0.085,0.2205,0.0855,0.0515,0.07,2
266,0.6,0.495,0.165,1.2415,0.485,0.2775,0.34,3
267,0.59,0.405,0.15,0.853,0.326,0.2615,0.245,2
268,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,2
269,0.435,0.35,0.11,0.384,0.143,0.1005,0.125,3
270,0.47,0.355,0.12,0.3929999999999999,0.1669999999999999,0.0885,0.115,1
271,0.605,0.47,0.16,1.0835,0.5405,0.2215,0.275,3
272,0.52,0.395,0.125,0.8115,0.4035,0.166,0.2,1
273,0.475,0.365,0.125,0.5465,0.2289999999999999,0.1185,0.172,2
274,0.62,0.45,0.135,0.924,0.358,0.2265,0.2965,2
275,0.535,0.41,0.155,0.6315,0.2745,0.1415,0.1815,3
276,0.52,0.4,0.125,0.6865,0.295,0.1715,0.185,2
277,0.605,0.495,0.145,1.054,0.369,0.2255,0.36,3
278,0.6,0.475,0.16,1.0265,0.485,0.2495,0.2565,2
279,0.435,0.325,0.115,0.3915,0.154,0.094,0.12,1
280,0.66,0.545,0.185,1.32,0.5305,0.2635,0.455,3
281,0.71,0.54,0.165,1.959,0.7665,0.261,0.78,3
282,0.46,0.35,0.115,0.44,0.19,0.1025,0.13,1
283,0.45,0.355,0.105,0.4445,0.1969999999999999,0.093,0.1335,1
284,0.525,0.405,0.12,0.7555,0.3755,0.1555,0.201,2
285,0.62,0.45,0.2,0.858,0.4285,0.1525,0.2405,1
286,0.415,0.31,0.095,0.34,0.181,0.057,0.083,1
287,0.485,0.38,0.14,0.6729999999999999,0.2175,0.13,0.195,3
288,0.635,0.525,0.205,1.484,0.55,0.3115,0.43,3
289,0.67,0.51,0.175,1.5265,0.6509999999999999,0.4475,0.345,2
290,0.505,0.39,0.175,0.6920000000000001,0.267,0.15,0.215,3
291,0.53,0.42,0.13,0.6579999999999999,0.296,0.1245,0.198,1
292,0.6,0.475,0.15,1.13,0.575,0.196,0.305,2
293,0.62,0.5,0.175,1.186,0.4985,0.3015,0.35,3
294,0.585,0.46,0.165,1.058,0.486,0.25,0.294,2
295,0.64,0.5,0.17,1.5175,0.693,0.326,0.409,3
296,0.675,0.53,0.175,1.4465,0.6775,0.33,0.389,2
297,0.65,0.505,0.165,1.16,0.4785,0.2739999999999999,0.349,3
298,0.545,0.42,0.125,0.9745,0.353,0.174,0.305,3
299,0.36,0.265,0.09,0.2065,0.078,0.057,0.06,1
300,0.41,0.3,0.09,0.304,0.129,0.071,0.0955,1
301,0.62,0.475,0.185,1.325,0.6045,0.325,0.33,3
302,0.62,0.485,0.175,1.2155,0.545,0.253,0.345,2
303,0.56,0.445,0.18,0.903,0.3575,0.2045,0.295,2
304,0.56,0.45,0.16,0.922,0.432,0.178,0.26,3
305,0.44,0.33,0.115,0.4005,0.143,0.113,0.12,1
306,0.665,0.525,0.16,1.3630000000000002,0.629,0.2789999999999999,0.34,1
307,0.45,0.355,0.115,0.479,0.2125,0.1045,0.15,1
308,0.585,0.46,0.145,0.9335,0.478,0.1825,0.235,2
309,0.415,0.33,0.09,0.3595,0.17,0.081,0.09,1
310,0.565,0.465,0.175,0.995,0.3895,0.183,0.37,3
311,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,2
312,0.49,0.385,0.125,0.609,0.3065,0.096,0.1775,1
313,0.69,0.555,0.205,1.8165,0.7785,0.4395,0.515,3
314,0.655,0.55,0.18,1.274,0.586,0.281,0.365,2
315,0.56,0.425,0.135,0.8490000000000001,0.3265,0.221,0.2645,2
316,0.41,0.33,0.105,0.335,0.1525,0.074,0.11,1
317,0.415,0.305,0.12,0.336,0.165,0.076,0.0805,1
318,0.51,0.4,0.13,0.5735,0.2189999999999999,0.1365,0.195,3
319,0.565,0.44,0.175,0.8735,0.414,0.21,0.21,3
320,0.475,0.365,0.115,0.499,0.2319999999999999,0.0885,0.156,2
321,0.39,0.31,0.085,0.344,0.181,0.0695,0.079,1
322,0.575,0.455,0.165,0.867,0.3765,0.1805,0.268,1
323,0.65,0.505,0.18,1.469,0.7115,0.3335,0.38,2
324,0.455,0.335,0.105,0.422,0.2289999999999999,0.0865,0.1,1
325,0.505,0.385,0.115,0.4825,0.21,0.1035,0.1535,2
326,0.765,0.6,0.22,2.302,1.007,0.509,0.6205,3
327,0.595,0.475,0.14,0.944,0.3625,0.1889999999999999,0.315,2
328,0.63,0.5,0.17,1.3135,0.5595,0.267,0.4,3
329,0.615,0.475,0.175,1.224,0.6035,0.261,0.311,2
330,0.35,0.255,0.065,0.179,0.0705,0.0385,0.06,2
331,0.56,0.425,0.14,0.9175,0.4005,0.1975,0.26,2
332,0.63,0.475,0.175,1.423,0.4155,0.3385,0.49,3
333,0.46,0.36,0.135,0.6105,0.1955,0.107,0.235,3
334,0.56,0.43,0.125,0.8025,0.313,0.1715,0.263,3
335,0.55,0.425,0.135,0.8515,0.362,0.196,0.27,3
336,0.515,0.42,0.14,0.769,0.2505,0.154,0.29,3
337,0.6,0.465,0.18,1.193,0.5145,0.315,0.3055,1
338,0.66,0.505,0.2,1.6305,0.4865,0.297,0.61,3
339,0.485,0.39,0.125,0.591,0.287,0.141,0.12,2
340,0.62,0.48,0.15,1.1015,0.4965,0.243,0.305,2
341,0.19,0.145,0.04,0.038,0.0165,0.0065,0.015,1
342,0.57,0.44,0.095,0.8270000000000001,0.3395,0.2215,0.235,1
343,0.26,0.205,0.07,0.0969999999999999,0.0415,0.019,0.0305,1
344,0.59,0.455,0.16,1.09,0.5,0.2215,0.292,2
345,0.505,0.375,0.115,0.5895,0.2635,0.12,0.1669999999999999,2
346,0.55,0.44,0.16,0.991,0.348,0.168,0.375,3
347,0.55,0.41,0.15,0.785,0.282,0.186,0.275,3
348,0.535,0.42,0.145,0.926,0.3979999999999999,0.1965,0.25,3
349,0.465,0.355,0.115,0.4705,0.1955,0.118,0.126,1
350,0.44,0.365,0.115,0.501,0.2435,0.084,0.1465,2
351,0.375,0.29,0.14,0.3,0.14,0.0625,0.0825,1
352,0.595,0.45,0.145,0.959,0.4629999999999999,0.2065,0.2535,2
353,0.515,0.435,0.17,0.631,0.2765,0.111,0.216,3
354,0.68,0.535,0.185,1.607,0.7245,0.3215,0.498,3
355,0.31,0.22,0.085,0.146,0.061,0.0365,0.045,1
356,0.52,0.45,0.15,0.895,0.3615,0.186,0.235,3
357,0.365,0.27,0.075,0.2215,0.095,0.0445,0.07,1
358,0.695,0.53,0.21,1.51,0.664,0.4095,0.385,2
359,0.58,0.425,0.15,0.8440000000000001,0.3645,0.185,0.2705,2
360,0.54,0.405,0.155,0.9715,0.3225,0.1939999999999999,0.29,3
361,0.42,0.325,0.125,0.3915,0.1575,0.1025,0.115,2
362,0.265,0.2,0.065,0.0975,0.04,0.0205,0.0279999999999999,1
363,0.565,0.44,0.135,0.83,0.3929999999999999,0.1735,0.238,2
364,0.565,0.45,0.165,0.9765,0.322,0.244,0.37,3
365,0.38,0.285,0.09,0.2305,0.1005,0.039,0.0775,1
366,0.605,0.48,0.14,0.991,0.4735,0.2345,0.24,1
367,0.635,0.5,0.19,1.29,0.593,0.3045,0.352,1
368,0.475,0.35,0.115,0.452,0.1715,0.092,0.155,3
369,0.32,0.225,0.085,0.1415,0.0675,0.0295,0.0405,1
370,0.67,0.51,0.2,1.5945,0.6705,0.3845,0.4505,2
371,0.715,0.55,0.175,1.825,0.938,0.3805,0.44,3
372,0.62,0.48,0.155,1.2555,0.527,0.374,0.3175,3
373,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,3
374,0.645,0.5,0.225,1.626,0.5870000000000001,0.4055,0.41,3
375,0.535,0.46,0.145,0.7875,0.3395,0.2005,0.2,1
376,0.545,0.41,0.125,0.6935,0.2975,0.146,0.21,3
377,0.625,0.515,0.17,1.331,0.5725,0.3005,0.361,2
378,0.405,0.31,0.095,0.3425,0.1785,0.064,0.0855,1
379,0.51,0.39,0.135,0.6335,0.231,0.179,0.2,2
380,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,2
381,0.39,0.295,0.095,0.203,0.0875,0.045,0.075,1
382,0.465,0.365,0.115,0.467,0.2315,0.0925,0.113,1
383,0.47,0.365,0.12,0.5820000000000001,0.29,0.092,0.146,1
384,0.515,0.425,0.135,0.7120000000000001,0.2665,0.1605,0.25,3
385,0.54,0.415,0.15,0.8115,0.3875,0.1875,0.2035,2
386,0.53,0.425,0.155,0.7905,0.307,0.171,0.2595,2
387,0.35,0.265,0.09,0.1855,0.0745,0.0415,0.06,1
388,0.35,0.235,0.08,0.17,0.0725,0.0465,0.0495,1
389,0.71,0.555,0.195,1.9485,0.9455,0.3765,0.495,3
390,0.66,0.53,0.185,1.3485,0.493,0.245,0.49,3
391,0.415,0.32,0.115,0.3045,0.1215,0.0735,0.094,1
392,0.42,0.345,0.105,0.43,0.175,0.096,0.13,1
393,0.5,0.39,0.145,0.6509999999999999,0.273,0.132,0.22,3
394,0.4,0.31,0.115,0.314,0.1545,0.0595,0.087,1
395,0.615,0.47,0.155,1.2,0.5085,0.32,0.292,1
396,0.23,0.175,0.065,0.0645,0.026,0.0105,0.02,1
397,0.45,0.36,0.125,0.4995,0.2035,0.1,0.17,3
398,0.425,0.325,0.11,0.3335,0.173,0.045,0.1,1
399,0.345,0.275,0.095,0.1995,0.0755,0.0535,0.07,1
400,0.64,0.5,0.185,1.3035,0.4445,0.2635,0.465,3
